date,yt_pred_time_trend_1_dummy,yt_pred_time_trend_2_dummy,yt_pred_time_trend_3_dummy,yt_true,yt_pred_mlp_8,yt_pred_mlp_30,yt_pred_stacked_mlp,yt_pred_d1d13_ar13,yt_pred_d1d12_mlp
1949-05-01,1762.4026315789465,1806.6018307026832,1888.5905932109872,2052,2138.687668806007,2200.992788523069,2074.2585815882435,2085.3814693783934,2040.8154228500416
1949-06-01,1916.8763157894728,1955.1822897114127,2038.5277329042333,2039,2266.962148436801,2260.1202546806853,2213.790710950875,2220.651094997744,2189.644815341353
1949-07-01,2307.0868421052623,2339.499588121153,2424.007903099451,2351,2466.5137574813493,2526.8406847788806,2433.3403924149284,2249.044692701502,1931.9628214173363
1949-08-01,3411.8763157894728,3438.395827846536,3523.873209059796,3394,3112.6185945619177,2868.999684278088,3251.918120124103,3762.607581117477,3909.9215692619655
1949-09-01,2662.0868421052623,2682.7131321167444,2768.9657560484266,3581,2846.6459543004894,2759.787611963146,3016.640934569317,2548.4353384914266,1907.1780330123238
1949-10-01,2193.034210526315,2207.7672754732785,2294.6013335390285,2489,2984.594223440351,2786.572610258561,3097.2310394574847,2640.605934145344,3519.3448277620664
1949-11-01,2013.5078947368413,2022.3477315388857,2109.569415215811,2468,2447.210598083738,2352.3417318852685,2336.367524001348,2469.6987478975752,2323.4895344115284
1949-12-01,1774.9815789473676,1777.9281869613233,1865.3436852893008,2134,2239.320614258432,2301.1784314300703,2176.2384981414425,2226.1934964846605,2219.070577977526
1950-01-01,1598.1951754385957,1595.7396557802526,1711.2244619976525,1903,2070.482450931117,1998.127050777557,1995.8158248486684,2046.4588016074365,2002.4748894882382
1950-02-01,1580.5635964912271,1573.1970613476833,1688.5203519306006,1719,2033.956729961612,1954.8161363443087,1989.7650353954853,1992.470344726052,1915.0539780956979
1950-03-01,1717.247807017543,1704.9702542539198,1819.9705216678208,1617,2029.406107196108,1889.716494945145,2031.442356261684,2074.5844593709207,1810.0252129783803
1950-04-01,1825.3004385964905,1808.1118673572528,1922.627602788264,1818,1992.4547221399064,1743.5577115070214,1940.655237709299,1683.141804259445,1357.509379626962
1950-05-01,1888.195175438596,1866.0955849837767,1979.965279502452,2067,2110.0116713746493,1960.636410461235,2077.57383774458,1980.5450024229017,1986.5326322385736
1950-06-01,2042.668859649122,2015.6582482825595,2128.720393915652,2457,2224.1421048950897,2281.1050623001947,2178.556972238539,2195.6997235199237,2023.2119432086452
1950-07-01,2432.879385964912,2400.957750982352,2513.050840764705,2600,2698.725168540336,2687.639092248723,2700.567643135246,2317.670010183856,2729.258623732332
1950-08-01,3537.668859649122,3500.836194997788,3611.798725312768,3530,3306.456967995082,3144.0762964072896,3381.338698258829,3950.114521213785,3612.1437164702256
1950-09-01,2787.879385964912,2746.1357035580486,2855.806152822998,2693,3577.912782447563,3320.2813015851143,3732.599047539772,2955.789534250798,3674.0454345615453
1950-10-01,2318.8267543859643,2272.172051204635,2380.388912769081,2448,2725.543317076077,2620.7852700485737,2701.1937008081404,2185.362043995555,1562.8286294956051
1950-11-01,2139.3004385964905,2087.734711560295,2194.336478835228,2250,2495.2768998701727,2487.415219210812,2469.363887306733,2356.6332822085787,2380.871070154204
1950-12-01,1900.7741228070167,1844.297371272785,1949.1225352319632,1972,2192.076661085717,2154.494742512468,2177.622693083816,2083.927275864969,1880.782038651816
1951-01-01,1723.9877192982449,1663.091044381767,1794.047400197443,1682,2002.6536193907416,1868.5228541074648,1950.7759584536243,1834.4339849892567,1698.8347702868946
1951-02-01,1706.3561403508763,1641.5306542392505,1770.4196803214018,1730,1840.204670666564,1683.700693133692,1781.490203186395,1632.1512663734024,1456.1350227669136
1951-03-01,1843.040350877192,1774.286051435539,1900.9785421835145,1814,1878.897587188282,1749.5618188957487,1831.821727308375,1650.0431531642243,1591.0827566140788
1951-04-01,1951.09298245614,1878.409868828925,2002.776617362732,1900,2021.3924378814413,1816.3568380364904,1963.8622641446311,1735.5211881898458,1981.6270840454417
1951-05-01,2013.9877192982449,1937.3757907455013,2059.2875900695763,2051,2188.512920383572,2202.799809025212,2144.152572075086,2059.4323092802038,2114.699481869694
1951-06-01,2168.461403508771,2087.9206583343366,2207.248302409315,2290,2435.181010205792,2416.2864327225125,2411.998725209679,2243.0639720915115,2399.3102258622666
1951-07-01,2558.6719298245607,2474.202365324182,2590.8166491187885,2599,2744.4341156470264,2728.788079866471,2769.095977941108,2505.690404479523,2396.5596318112193
1951-08-01,3663.461403508771,3575.0630136296704,3688.834735461154,3428,3174.0527430359903,2972.0339559666363,3294.6471602967904,3447.2218188010147,3485.8732154984755
1951-09-01,2913.6719298245607,2821.344726479984,2932.1446666995694,2262,3072.884291689687,2956.052464665356,3229.347003890202,3216.806776688809,2553.471171557676
1951-10-01,2444.619298245613,2348.363278416623,2456.06223230772,2242,2483.550921091401,2370.823476343491,2411.6696728695106,2018.5965940809676,1971.832790344134
1951-11-01,2265.0929824561395,2164.9081430623355,2269.376905969816,2103,2264.6624653623826,2274.8993428849053,2225.98641153426,1945.350122515054,2011.906079328326
1951-12-01,2026.5666666666657,1922.4530070648784,2023.562371896383,1825,2022.9634877172048,1974.6378102946155,1997.8971869980007,1810.473888536565,1788.6269865216896
1952-01-01,1849.7802631578936,1742.228884463913,1867.918948325576,1670,1861.170430536143,1741.5741710635175,1764.938496807096,1564.454436928192,1498.6233230197545
1952-02-01,1832.1486842105253,1721.650698611449,1843.75524184713,1681,1841.209893817581,1749.1544092206773,1792.8236390046284,1574.520393196577,1681.4692631821204
1952-03-01,1968.832894736841,1855.3883000977903,1973.8104190407207,1713,1931.9919983673324,1795.587755856896,1891.206649475683,1586.8698042319584,1728.1090612599678
1952-04-01,2076.8855263157884,1960.4943217812288,2075.1371114852973,1954,1986.95592812284,1804.1954703380447,1919.1028244791253,1792.4934808245737,1761.3966541436253
1952-05-01,2139.780263157894,2020.4424479878576,2131.209003391384,1876,2135.943013850513,2211.0624336461915,2108.3941124616204,2064.0757810885334,2066.101766494521
1952-06-01,2294.25394736842,2171.969519866745,2278.762936864247,2272,2269.715557738094,2260.4087148629405,2207.809387753809,2292.972049805392,2075.1671450320846
1952-07-01,2684.4644736842097,2559.2334311466434,2661.956806640726,2612,2684.39435850522,2680.3437524856395,2733.690019122272,2496.1662001117747,2542.912595390935
1952-08-01,3789.25394736842,3661.076283742184,3759.632717983981,3590,3034.7348630131014,2829.8383556024023,3180.8044930512906,3402.31706455876,3404.2509184408864
1952-09-01,3039.4644736842097,2908.34020088255,3002.6327761571656,2496,2886.170529707978,2802.547088833825,3044.397889503308,2527.949162726716,2386.925616540566
1952-10-01,2570.4118421052626,2436.340957109242,2526.272770633969,2441,2457.412065039796,2360.353901183736,2393.704362023376,2391.274556499628,2439.75006286389
1952-11-01,2390.885526315789,2253.868026045008,2339.342175098599,2340,2268.8184241257363,2286.001585333981,2220.647157778896,2195.558485689039,2266.447247696229
1952-12-01,2152.359210526315,2012.3950943376024,2093.3146737615825,2090,2050.985174066736,2010.2038095966905,2018.297938560817,2020.759905111632,2026.2695548128067
1953-01-01,1975.5728070175428,1833.1531760266896,1937.4905848610747,1812,1941.240382367185,1853.712881949536,1864.1554159885343,1841.8684165104205,1899.4912266596425
1953-02-01,1957.9412280701745,1813.5571944642784,1913.1785149868097,1788,1874.6076359552203,1759.8157178497072,1816.670486556124,1852.2640728521565,1785.680339791339
1953-03-01,2094.6254385964903,1948.2770002406724,2043.1176307184635,1837,1953.9523878268487,1819.494441363463,1912.3950347339176,1915.4649992257189,1782.776016247462
1953-04-01,2202.678070175438,2054.365226214163,2144.360563634985,1993,2052.159336276747,1820.5449673486512,2005.7203847073908,2021.0194374229975,2040.4598131588218
1953-05-01,2265.572807017543,2115.295556710845,2200.3809979468992,2021,2106.013694969407,2157.16037330437,2054.827335105386,2065.683179986679,1878.8823790057395
1953-06-01,2420.046491228069,2267.8048328797854,2347.915775759471,2199,2347.070659818836,2327.726439978824,2295.8721430325736,2381.239722657476,2379.6677918888254
1953-07-01,2810.257017543858,2656.050948449736,2731.122791809542,2622,2725.7064562485552,2701.7071255798683,2744.808213166378,2609.9441725559764,2502.3814918682046
1953-08-01,3915.0464912280695,3758.8760053353294,3828.84415136027,3787,3177.812773310017,2952.894970067872,3314.0497805719783,3529.749554751544,3562.8670645633956
1953-09-01,3165.257017543858,3007.122126765748,3071.9219596748108,2914,3138.628777513312,3015.004923588928,3318.8876987075228,2554.2235968120904,2658.2049218104366
1953-10-01,2696.204385964911,2536.1050872824926,2595.672006226852,2487,2807.7356996866624,2646.13817294501,2800.5059736954604,2726.686745161452,2823.4722302575283
1953-11-01,2516.678070175438,2354.6143605083103,2408.883764700602,2314,2485.07049089587,2463.480922182373,2428.4612879268493,2482.9406570020947,2346.306580140659
1953-12-01,2278.151754385964,2114.1236330909583,2163.030919306588,2139,2199.950082345504,2167.753502797681,2166.38538760484,2056.640816530725,2022.9697407527565
1954-01-01,2101.365350877192,1935.8639190700976,2007.413788282964,2124,2028.901301617407,1935.659370558618,1971.421418556528,1891.643382800355,1823.4797567884925
1954-02-01,2083.733771929824,1917.2501417977392,1983.340978219465,2214,2033.03707997002,1944.0433062593804,2026.191054555268,2047.092538308435,2064.4851825653914
1954-03-01,2220.41798245614,2052.952151864186,2113.551655695767,2234,2174.3806753770696,2029.779366072887,2188.8486152580667,2188.910692110557,2226.4006779970177
1954-04-01,2328.470614035087,2160.022582127729,2215.09845229082,2279,2286.803059071249,2024.794275527249,2266.3896934127656,2397.59239757924,2352.122449476592
1954-05-01,2391.365350877192,2221.935116914464,2271.4550522151458,2423,2315.1422867203974,2308.570741146188,2265.4111071001294,2251.754149424397,2268.218559024617
1954-06-01,2545.8390350877185,2375.4265973734564,2419.358297574013,2290,2499.836850700852,2518.407212288241,2447.165039108652,2605.205970226212,2565.8619716450103
1954-07-01,2936.049561403508,2764.65491723346,2802.96608310426,2903,2829.595004982435,2812.6780251246005,2804.061520873572,2862.1593079036884,2674.277827797877
1954-08-01,4040.83903508772,3868.462178409106,3901.120514069047,4485,3470.152845207705,3231.7182682843563,3597.9199930266386,3981.396229431487,4032.424475178839
1954-09-01,3291.049561403508,3117.6905041295768,3144.663695731529,3085,3673.9962981629214,3404.022861758712,3872.9269081491966,3287.061570222675,3578.824075375662
1954-10-01,2821.9969298245605,2647.6556689363742,2668.911417565393,2852,2987.9649928185554,2721.621526838077,2943.684387109551,2942.9117598776284,2619.307587847654
1954-11-01,2642.4706140350872,2467.147146452244,2482.653153254849,2629,2676.099494107129,2669.425787642692,2617.409691671752,2725.3903657133005,2638.247975982541
1954-12-01,2403.944298245613,2227.638623324945,2237.362587010421,2435,2443.885240448425,2410.550259902487,2406.714500256828,2468.03760941908,2419.0397735099414
1955-01-01,2227.157894736841,2050.3611135941374,2082.3400370702666,2227,2363.956025364919,2251.7332497378843,2329.934162620477,2317.5283871793417,2384.7066654321407
1955-02-01,2209.526315789473,2032.729540611831,2058.89411002412,1944,2325.677504838712,2275.5313007974464,2333.494039018779,2340.9693424101124,2280.7609346313748
1955-03-01,2346.210526315788,2169.41375496833,2189.763972451656,2125,2325.776825126617,2142.5541335011585,2315.9242316487457,2142.592934682514,1920.7045226493192
1955-04-01,2454.263157894736,2277.4663895219264,2292.002255931823,2260,2439.76092366238,2132.027823412423,2433.3009864959417,2276.4975961192904,2131.3817480372963
1955-05-01,2517.157894736841,2340.361128598713,2349.0826446751485,2299,2506.5639892681565,2490.7212029936154,2495.566224982633,2357.0249417504992,2367.072366267861
1955-06-01,2671.6315789473674,2494.834813347759,2497.7419807868946,2323,2571.794534825656,2562.3265441951053,2489.280086712784,2347.4866481199406,2126.1053455940746
1955-07-01,3061.842105263157,2885.0453374978147,2882.1381590039045,2659,3131.217731142354,3098.943063622497,3110.9317016651166,2907.7742384582943,2897.8383659660713
1955-08-01,4166.631578947367,3989.8348029635135,3981.1132845893353,3761,3754.421975214944,3425.8820832364263,3838.0567192499298,4038.965598575899,4201.126857440495
1955-09-01,3416.842105263157,3240.045332974037,3225.5094628063443,2779,3511.0659716520336,3301.0110780841965,3662.364335925544,2743.660015664742,2319.006149540981
1955-10-01,2947.789473684209,2770.992702070887,2750.6424831286167,2761,3020.8995821312537,2831.805084679833,3010.138836729268,2463.585475053731,2504.066223863534
1955-11-01,2768.263157894736,2591.4663838768097,2565.3018192403624,2446,2805.457684569845,2739.312116632592,2810.4035509360115,2441.98325304631,2502.5168669468394
1955-12-01,2529.7368421052624,2352.940065039563,2320.961155352108,2278,2515.250351415169,2425.781412787385,2511.828518927321,2272.578167906351,2211.4674019857957
1956-01-01,2352.95043859649,2176.6447595988075,2166.9208097020087,1879,2304.385953692786,2193.6768020855093,2280.0399452592187,2063.447005838523,2027.2643983615962
1956-02-01,2335.318859649122,2159.9953909065543,2144.489388879798,1881,2077.8962221637603,2011.417791204061,2024.8083840047984,1821.3105596980467,1553.7857770684868
1956-03-01,2472.0030701754376,2297.661809553106,2276.406059465153,2165,2206.7536437518315,2080.9048836923566,2197.4447551124567,1944.7964647125275,2025.146232394461
1956-04-01,2580.055701754385,2406.696648396755,2379.723453037022,2199,2380.812380307344,2135.8979801273254,2404.223831950187,2142.348317926136,2265.165504155204
1956-05-01,2642.95043859649,2470.5735917635943,2437.9152538059298,2308,2421.243424734733,2383.2744076837857,2413.08064319486,2292.6481602948625,2198.643085226664
1956-06-01,2797.424122807017,2626.029480802693,2587.7183038771423,2529,2532.0133472093944,2488.795603549765,2488.524433226288,2228.112918046335,2293.3254092735024
1956-07-01,3187.634649122806,3017.222209242801,2973.2904979875,2573,2957.7023409824974,2926.6574010999866,2976.3122812425177,2774.352124124238,2828.197313496232
1956-08-01,4292.424122807017,4122.993878998552,4073.473941400159,3946,3325.365659051212,3070.144616941683,3406.8072200036063,4060.843442770123,3635.9859821580912
1956-09-01,3542.634649122806,3374.186613299129,3319.1107393782795,3200,3400.25902344146,3275.1472475229507,3576.161313368268,2806.723760822857,2927.25330353965
1956-10-01,3073.582017543859,2906.116186686031,2845.5166813955466,2574,3125.928019588873,2880.4102181553208,3163.2174240959125,2876.90077444511,3150.773692761102
1956-11-01,2894.055701754385,2727.5720727820067,2661.481241136168,2422,2644.655755118025,2554.500739073401,2584.352714553313,2486.6485372491134,2220.9850902811995
1956-12-01,2655.5293859649114,2490.027958234812,2418.478102810672,2446,2365.256304560589,2328.521804341972,2348.3878613890806,2227.893366873413,2214.1951078477805
1957-01-01,2478.7429824561395,2314.71485708411,2265.807584657212,2828,2209.931919420917,2105.5765276232805,2185.179672707965,2091.8702211722702,2013.1088430786695
1957-02-01,2461.1114035087708,2299.0476926819088,2244.778293265524,2879,2396.6857138532428,2311.872540982899,2448.9030426266413,2407.069535848132,2799.793246121806
1957-03-01,2597.795614035087,2437.6963156185134,2378.1293952152832,2800,2644.43816991807,2503.279701950621,2700.4151369310007,2905.136984827648,3132.1258777540716
1957-04-01,2705.848245614034,2547.713358752215,2482.9135220854387,2835,2707.216070106064,2416.713528995614,2694.9031247874736,2853.957148452494,2792.8030470769945
1957-05-01,2768.7429824561395,2612.5725064091066,2542.604358086516,2585,2760.9019718165614,2716.3012399641207,2732.7325820056394,2897.5513764678635,2907.7133962417593
1957-06-01,2923.216666666666,2769.010599738257,2693.9387453237778,2787,2735.4346366755994,2723.633469903258,2659.6898078148374,2817.8779052974987,2770.0395253719726
1957-07-01,3313.4271929824554,3161.1855324684184,3081.074578534068,3334,3037.611242141993,3047.5299352376696,3023.917481850933,3066.490056054574,2794.2682633492996
1957-08-01,4418.216666666666,4267.939406514222,4182.853962980544,4746,3794.098203268124,3496.553016339144,3884.902627346025,4598.273226424708,4673.783806836753
1957-09-01,3668.427192982456,3520.114345104851,3430.11900392636,3613,3972.813147176359,3607.524478080215,4106.600753538056,3770.81687168409,3965.558286897667
1957-10-01,3199.374561403508,3053.0261227818064,2958.185490845206,3463,3317.438892245936,3022.923773784381,3278.3861545003847,3358.173752999255,2949.400064929272
1957-11-01,3019.8482456140346,2875.4642131678343,2775.8428974212898,3274,3089.131054134893,3049.2973528708003,3029.660385678861,3140.227955865856,3273.7428461289637
1957-12-01,2781.3219298245604,2638.902302910693,2534.5649078651363,2801,3011.8875882207326,2963.041508053016,2966.92187681363,3198.6634411760806,3268.577951805244
1958-01-01,2604.5355263157885,2464.5714060500427,2383.6518404149024,2488,2950.376070793511,2877.244324340441,2920.5510497589275,3015.647233898225,3147.1023577549004
1958-02-01,2586.90394736842,2449.8864459378947,2364.412301660321,2386,2812.294607818969,2748.915807167752,2799.3892474652584,2715.9089328706305,2495.965443831541
1958-03-01,2723.588157894736,2589.517273164552,2499.585458181071,2428,2806.096329152718,2644.5052590086143,2821.5219132565226,2707.301458926191,2261.7675731257723
1958-04-01,2831.640789473683,2700.516520588306,2606.223941556097,2678,2840.7696325252227,2505.414269843788,2845.802993299502,2657.630920441685,2422.052267139613
1958-05-01,2894.5355263157885,2766.3578725352504,2667.8014359959284,2744,2854.965463949121,2830.259956129327,2838.562465056752,2613.690048175185,2389.614996762837
1958-06-01,3049.009210526315,2923.7781701544536,2821.054783605828,2772,3102.732968323073,3017.5678311391475,3042.37175727488,2952.827128616708,2906.780124947314
1958-07-01,3439.2197368421043,3316.935307174668,3210.141879122635,3520,3622.677665454789,3506.847335060812,3565.87398639392,3085.3079625306946,3281.226799959013
1958-08-01,4544.009210526315,4424.671385510524,4313.904827809511,3833,4291.748214663574,4029.4528315494977,4285.592189263005,4557.493740505441,4894.646201631156
1958-09-01,3794.219736842104,3677.828528391205,3563.1857349296106,3377,3953.5217687580607,3701.845591374874,3974.076873185362,3274.4537088830184,2653.614921859158
1958-10-01,3325.167105263157,3211.7225103582127,3093.30038995662,3013,3688.948744142144,3453.940285190892,3676.398636529757,2906.6835564745124,3183.2101462888986
1958-11-01,3145.6407894736835,3035.1428050342934,2913.0382665747507,2871,3315.07043504879,3153.56483086368,3313.8361574748305,2852.617668510902,2786.8259848868493
1958-12-01,2907.1144736842098,2799.5630990672043,2673.873048994526,2592,2929.4748587667486,2787.9006122089977,2943.213558510373,2579.71740776787,2350.033588754788
1959-01-01,2730.328070175437,2626.214406496607,2525.105055454102,2375,2639.92197503972,2529.794221580535,2630.3850825492696,2609.4389480750306,2234.4089888668877
1959-02-01,2712.696491228069,2612.511650674511,2508.0428925432143,2304,2533.8365956968173,2450.9669552083287,2520.8115625702694,2358.9496750089147,2231.428895589892
1959-03-01,2849.380701754385,2753.1246821912214,2645.4257268415386,2464,2602.3616225095884,2426.957150310936,2591.705324161952,2262.9825896095645,2310.4518836565258
1959-04-01,2957.4333333333325,2865.106133905028,2754.306189928024,2557,2799.825995698264,2610.102027122277,2810.6061060832176,2511.748669102958,2680.2500297711476
1959-05-01,3020.328070175437,2931.9296901420253,2818.1579660131924,2739,2877.645528288407,2773.6193623015984,2865.2400590837706,2421.8264626730206,2583.8061864724987
1959-06-01,3174.801754385964,3090.332192051281,2973.717897202313,2714,3102.640008328245,3040.30862847646,3081.9004744080426,2771.0584830533,2732.6587222234575
1959-07-01,3565.0122807017533,3484.471533361547,3365.143878232225,3102,3506.6764162288505,3321.812137654373,3503.6185882419863,3294.38921096169,3419.1960176756957
1959-08-01,4669.801754385964,4593.189815987456,4471.278014366085,3961,3706.876170473379,3474.589262433583,3758.0948880279616,4096.696249395776,3375.088129073898
1959-09-01,3920.0122807017538,3847.329163158191,3722.9624108670528,3772,3787.628988835105,3544.4596772199584,3884.39901189337,3243.8098446354616,3465.0494345116604
1959-10-01,3450.9596491228062,3382.2053494152506,3255.5128572088133,3245,3581.6387678457604,3319.5256190494447,3622.044721303994,3226.7241118635084,3379.556128407441
1959-11-01,3271.4333333333325,3206.6078483813835,3077.7188270755746,3104,3227.395157250613,3050.102038704921,3214.5541289854577,3136.503953173662,3065.8349655739075
1959-12-01,3032.9070175438587,2972.010346704348,2841.054004677863,2869,2933.325402428934,2838.169614630173,2933.322067998997,2693.5769136677945,2788.7427198482146
1960-01-01,2856.120614035087,2799.643858423803,2694.818708253837,2513,2697.6958572936483,2583.25215133352,2684.077293815661,2496.7203729793346,2617.0899942485485
1960-02-01,2838.4890350877185,2786.92330689176,2680.321544393228,2385,2548.4546689282,2480.725082884924,2517.177722978662,2474.9297271366595,2407.362034509668
1960-03-01,2975.1732456140344,2928.5185426985217,2820.301679675712,2756,2607.3030895653046,2490.00858288656,2601.625780871332,2536.353133182487,2507.228284779476
1960-04-01,3083.225877192981,3041.482198702381,2931.811745680239,2927,2857.9722013731684,2631.4819125001195,2894.760340498888,2860.1896413747427,2812.4922199108914
1960-05-01,3146.120614035087,3109.287959229431,2998.325426617333,2940,3038.7646082029964,2855.297012019399,3055.5176733872413,3068.0907629429967,3073.9422086982477
1960-06-01,3300.594298245613,3268.6726654287395,3156.57956459226,3180,3115.183068841628,3042.0641255325927,3074.599956149648,2925.468997796253,2877.3216280436545
1960-07-01,3690.804824561402,3663.794211029058,3550.7320543418605,3791,3546.060511834049,3428.8734448209457,3519.485019968726,3659.8518246975273,3532.371411167922
1960-08-01,4795.594298245614,4773.49469794502,4659.625001129292,4093,4119.843438093832,3876.2032482077975,4120.807627056546,4369.986949818151,4617.18633142305
1960-09-01,4045.804824561402,4028.616249405807,3914.1005102177137,4309,4083.878202258272,3822.2938923519664,4091.585796345547,3852.532619190846,3868.5676808741828
1960-10-01,3576.752192982455,3564.4746399529195,3449.4743710808075,3532,3933.3221929268257,3715.614124659626,3946.6701332260086,3658.159265917131,3745.203337351315
1960-11-01,3397.225877192982,3389.8593432091056,3274.536057402788,3408,3524.977976853388,3284.107859891783,3488.6807632312084,3519.8667358157945,3353.480470207097
1960-12-01,3158.699561403508,3156.2440458221217,3040.759253394176,2839,3208.640992209408,3086.665841228468,3206.1861585805773,3169.9706993263358,3134.9879624426103
1961-01-01,2981.913157894736,2984.85976183163,2897.4442772931297,2792,2762.7238613661325,2687.5747683293966,2711.5452700484884,2723.2670553641456,2443.7058052667635
1961-02-01,2964.2815789473675,2973.121414589639,2885.899735689384,2798,2731.545908249516,2679.4286647039803,2711.532403315188,2658.561616784177,2625.69615508919
1961-03-01,3100.965789473684,3115.698854686454,3028.864795162616,3007,2959.2364317798333,2800.201586666875,2961.291515707602,3067.374063412337,3135.9360534851676
1961-04-01,3209.0184210526304,3229.644714980366,3143.392087291769,3086,3179.737601065584,2980.6664935314298,3190.4929440160067,3119.961552508722,3140.8182704120736
1961-05-01,3271.9131578947363,3298.432679797468,3212.955296287372,3201,3300.236660985465,3110.318941396813,3262.5133000968603,3206.9284323851757,3058.9516114105863
